date,game_players
2022-12-31,1899
2022-12-30,1973
2022-12-29,1919
2022-12-28,1937
2022-12-27,2012
2022-12-26,2043
2022-12-25,1562
2022-12-24,1911
2022-12-23,2112
2022-12-22,2034
2022-12-21,2036
2022-12-20,2261
2022-12-19,2422
2022-12-18,2108
2022-12-17,2088
2022-12-16,2160
2022-12-15,2127
2022-12-14,2048
2022-12-13,2224
2022-12-12,2150
2022-12-11,2075
2022-12-10,2041
2022-12-09,2165
2022-12-08,1863
2022-12-07,2388
2022-12-06,2261
2022-12-05,2200
2022-12-04,2398
2022-12-03,2260
2022-12-02,2343
2022-12-01,2200
2022-11-30,2405
2022-11-29,2316
2022-11-28,2484
2022-11-27,2356
2022-11-26,2424
2022-11-25,2329
2022-11-24,2725
2022-11-23,2451
2022-11-22,2534
2022-11-21,2382
2022-11-20,2396
2022-11-19,2400
2022-11-18,2899
2022-11-17,2530
2022-11-16,2541
2022-11-15,2650
2022-11-14,2467
2022-11-13,2515
2022-11-12,2356
2022-11-11,2438
2022-11-10,2575
2022-11-09,2678
2022-11-08,2531
2022-11-07,2439
2022-11-06,3013
2022-11-05,2751
2022-11-04,2565
2022-11-03,2819
2022-11-02,2640
2022-11-01,3667
2022-10-31,2572
2022-10-30,2496
2022-10-29,2536
2022-10-28,2636
2022-10-27,2615
2022-10-26,2904
2022-10-25,2817
2022-10-24,2768
2022-10-23,3021
2022-10-22,2810
2022-10-21,2794
2022-10-20,2769
2022-10-19,2794
2022-10-18,2805
2022-10-17,2965
2022-10-16,2854
2022-10-15,3123
2022-10-14,2752
2022-10-13,2677
2022-10-12,2947
2022-10-11,2752
2022-10-10,2654
2022-10-09,2668
2022-10-08,2642
2022-10-07,2840
2022-10-06,2987
2022-10-05,2885
2022-10-04,3060
2022-10-03,2969
2022-10-02,2775
2022-10-01,2696
2022-09-30,2859
2022-09-29,2829
2022-09-28,3007
2022-09-27,2888
2022-09-26,2884
2022-09-25,2677
2022-09-24,3077
2022-09-23,2893
2022-09-22,3119
2022-09-21,2900
2022-09-20,2843
2022-09-19,3430
2022-09-18,3038
2022-09-17,3073
2022-09-16,4130
2022-09-15,3011
2022-09-14,2938
2022-09-13,2706
2022-09-12,2883
2022-09-11,2675
2022-09-10,2777
2022-09-09,2909
2022-09-08,3001
2022-09-07,2873
2022-09-06,3022
2022-09-05,2970
2022-09-04,2889
2022-09-03,2877
2022-09-02,3149
2022-09-01,2928
2022-08-31,3166
2022-08-30,3009
2022-08-29,3072
2022-08-28,2866
